season,week,manager,pts,IP,H,ER,BB,K,QS,SV+H,ERA,WHIP,K_per_IP
2021,1,Boyce,267.83,80.97,71,30,31,83,7,1,3.334568359,1.259725824,1.025071014
2021,1,Ulmer,206.76,54.97,38,16,13,66,4,4,2.619610697,0.927778788,1.200654903
2021,1,Garth,223.91,70.66,56,21,33,81,4,0,2.67478064,1.259552788,1.14633456
2021,1,Chris,378.43,108.63,76,24,21,117,10,0,1.988400994,0.892939335,1.077050539
2021,1,Andy,148.41,45.65,46,23,11,53,4,2,4.534501643,1.248630887,1.161007667
2021,1,Sam,183.34,64.31,66,31,26,67,4,1,4.338361064,1.430570673,1.041828643
2021,1,Howard,283.5,87.98,74,34,20,93,7,2,3.478063196,1.068424642,1.057058422
2021,1,Rich,224.17,71.63,58,27,20,75,6,0,3.392433338,1.08892922,1.047047327
2021,1,Rouse,242.67,70.64,59,38,29,95,6,4,4.841449604,1.245753114,1.344847112
2021,1,Dave,264.91,79.64,70,38,31,98,6,4,4.29432446,1.268206931,1.230537418
2021,2,Boyce,205.33,61.33,32,16,20,59,6,0,2.347953693,0.847872167,0.962008805
2021,2,Ulmer,195.33,48.31,27,14,19,62,4,5,2.608155661,0.952183813,1.283378183
2021,2,Garth,120.17,50.65,51,35,21,49,2,1,6.219151037,1.421520237,0.967423495
2021,2,Chris,158.42,52.65,49,23,14,62,3,0,3.931623932,1.196581197,1.177587844
2021,2,Andy,158.92,46.66,37,11,8,40,4,2,2.121731676,0.964423489,0.857265324
2021,2,Sam,170.92,47.66,39,17,16,51,2,6,3.210239194,1.154007554,1.070079731
2021,2,Howard,253.42,67.65,43,15,18,77,6,3,1.99556541,0.901699926,1.138211382
2021,2,Rich,187,57.99,58,26,14,79,4,0,4.035178479,1.241593378,1.362303845
2021,2,Rouse,111.16,36.66,31,16,15,40,2,1,3.927986907,1.254773595,1.091107474
2021,2,Dave,166.92,60.65,55,38,24,62,5,1,5.638911789,1.302555647,1.022258862
2021,3,Boyce,174.42,52.66,52,21,19,62,5,1,3.589061907,1.348271933,1.177364223
2021,3,Ulmer,147.84,48.31,38,20,22,47,3,2,3.725936659,1.241978886,0.972883461
2021,3,Garth,171.5,48.98,35,15,23,51,4,3,2.756227031,1.184156799,1.041241323
2021,3,Chris,186.66,64.66,63,38,13,81,4,0,5.289205073,1.175378905,1.252706465
2021,3,Andy,159,44.99,43,22,11,48,4,5,4.400977995,1.200266726,1.066903756
2021,3,Sam,142.08,44.31,36,17,17,50,4,0,3.452945159,1.196118258,1.128413451
2021,3,Howard,189.41,53.66,40,22,7,60,5,3,3.689899366,0.875885203,1.118151323
2021,3,Rich,257.09,67.32,40,15,15,75,6,4,2.005347594,0.816993464,1.114081996
2021,3,Rouse,140.51,42.98,33,15,17,43,3,2,3.140995812,1.163331782,1.000465333
2021,3,Dave,166.16,52.66,44,21,24,58,4,1,3.589061907,1.291302697,1.101405241
2021,4,Boyce,189.75,60.98,56,25,13,62,5,1,3.689734339,1.131518531,1.016726796
2021,4,Ulmer,126,44.98,49,32,17,53,2,3,6.402845709,1.467318808,1.178301467
2021,4,Garth,193.25,54.99,36,22,17,62,3,5,3.600654664,0.963811602,1.127477723
2021,4,Chris,218.75,67.99,48,23,23,76,5,0,3.044565377,1.044271216,1.117811443
2021,4,Andy,94.17,32.66,28,18,14,30,2,2,4.960195958,1.28597673,0.918554807
2021,4,Sam,157.91,45.65,42,23,9,51,3,5,4.534501643,1.117196057,1.117196057
2021,4,Howard,149.67,50.65,52,25,14,57,3,1,4.44225074,1.303060217,1.125370188
2021,4,Rich,154.08,41.33,38,12,11,51,4,2,2.613113961,1.185579482,1.233970481
2021,4,Rouse,173,53,41,21,19,62,4,1,3.566037736,1.132075472,1.169811321
2021,4,Dave,203.01,68.98,55,35,21,62,7,1,4.566541026,1.101768629,0.89881125
2021,5,Boyce,211.91,60.65,51,22,20,81,6,0,3.264633141,1.170651278,1.335531739
2021,5,Ulmer,106.09,32.32,21,5,20,33,2,0,1.392326733,1.268564356,1.021039604
2021,5,Garth,143.51,39.98,36,15,12,53,4,1,3.376688344,1.2006003,1.325662831
2021,5,Chris,124.75,52.99,53,35,20,53,2,0,5.944517834,1.377618419,1.000188715
2021,5,Andy,135.07,51.32,60,24,21,43,2,2,4.208885425,1.578332034,0.837879969
2021,5,Sam,164.66,45.66,36,18,10,49,4,4,3.547963206,1.007446343,1.073149365
2021,5,Howard,201.34,55.3,42,22,22,77,5,2,3.580470163,1.157323689,1.392405063
2021,5,Rich,140.75,40,23,9,12,38,3,2,2.025,0.875,0.95
2021,5,Rouse,157.67,48.66,31,12,17,41,2,3,2.219482121,0.986436498,0.842581176
2021,5,Dave,182.75,56.98,52,20,19,53,5,2,3.159003159,1.246051246,0.93015093
2021,6,Boyce,176.75,62.98,67,35,14,67,4,1,5.001587806,1.286122579,1.063829787
2021,6,Ulmer,167.17,49.64,41,18,15,59,2,3,3.26349718,1.128122482,1.188557615
2021,6,Garth,228.66,62.66,41,18,19,69,5,4,2.585381424,0.957548675,1.101180977
2021,6,Chris,181.17,57.66,43,24,25,65,4,1,3.746097815,1.17932709,1.127297954
2021,6,Andy,148.84,46.32,38,18,10,37,4,3,3.497409326,1.03626943,0.798791019
2021,6,Sam,161.5,44.99,32,12,12,33,4,5,2.400533452,0.97799511,0.733496333
2021,6,Howard,202.09,58.32,45,18,14,68,4,2,2.777777778,1.011659808,1.165980796
2021,6,Rich,120.08,35.32,38,19,13,38,2,5,4.841449604,1.44394111,1.07587769
2021,6,Rouse,174.16,50.66,55,20,11,59,6,1,3.553099092,1.302803,1.164626925
2021,6,Dave,173.33,55.31,51,29,19,61,3,4,4.718857349,1.265593925,1.102874706
2021,7,Boyce,233.91,56.66,38,10,13,70,7,3,1.588422167,0.900105895,1.235439463
2021,7,Ulmer,161.75,49.98,42,27,17,52,4,4,4.861944778,1.180472189,1.040416166
2021,7,Garth,115.67,37.66,27,13,17,37,2,1,3.106744557,1.16834838,0.982474774
2021,7,Chris,266.92,72.65,45,23,16,85,7,3,2.849277357,0.83964212,1.169993118
2021,7,Andy,129.34,45.32,59,31,15,46,2,5,6.156222418,1.632833186,1.015004413
