season,week,team_id,week_type,playoffs,hitting_points,pitching_points,team_points,manager
2021,1,1,long,0,340.0,267.83,607.8299999999999,Boyce
2021,1,2,long,0,374.0,206.76,580.76,Alex
2021,1,3,long,0,329.5,223.91,553.41,Garth
2021,1,4,long,0,249.5,378.43,627.9300000000001,Chris
2021,1,5,long,0,248.5,148.41,396.90999999999997,Andy
2021,1,6,long,0,330.5,183.34,513.84,Sam
2021,1,7,long,0,318.0,283.5,601.5,Howard
2021,1,8,long,0,281.0,224.17,505.16999999999996,Rich
2021,1,9,long,0,320.0,242.67000000000002,562.6700000000001,Rouse
2021,1,10,long,0,319.5,264.90999999999997,584.41,Dave
2021,2,1,normal,0,126.0,205.33,331.33000000000004,Boyce
2021,2,2,normal,0,226.0,195.32999999999998,421.33,Alex
2021,2,3,normal,0,179.0,120.17,299.17,Garth
2021,2,4,normal,0,179.0,158.42000000000002,337.42,Chris
2021,2,5,normal,0,171.5,158.92000000000002,330.42,Andy
2021,2,6,normal,0,265.5,170.92000000000002,436.42,Sam
2021,2,7,normal,0,221.5,253.42000000000002,474.92,Howard
2021,2,8,normal,0,169.0,187.0,356.0,Rich
2021,2,9,normal,0,190.5,111.16,301.65999999999997,Rouse
2021,2,10,normal,0,216.0,166.92000000000002,382.92,Dave
2021,3,1,normal,0,279.0,174.42000000000002,453.42,Boyce
2021,3,2,normal,0,163.0,147.84,310.84000000000003,Alex
2021,3,3,normal,0,203.5,171.5,375.0,Garth
2021,3,4,normal,0,146.0,186.66,332.65999999999997,Chris
2021,3,5,normal,0,204.0,159.0,363.0,Andy
2021,3,6,normal,0,195.0,142.08,337.08000000000004,Sam
2021,3,7,normal,0,208.0,189.41,397.40999999999997,Howard
2021,3,8,normal,0,219.5,257.09000000000003,476.59000000000003,Rich
2021,3,9,normal,0,188.0,140.51,328.51,Rouse
2021,3,10,normal,0,200.0,166.16,366.15999999999997,Dave
2021,4,1,normal,0,273.5,189.75,463.25,Boyce
2021,4,2,normal,0,247.0,126.0,373.0,Alex
2021,4,3,normal,0,211.5,193.25,404.75,Garth
2021,4,4,normal,0,196.5,218.75,415.25,Chris
2021,4,5,normal,0,257.5,94.17,351.67,Andy
2021,4,6,normal,0,223.5,157.91,381.40999999999997,Sam
2021,4,7,normal,0,228.5,149.67000000000002,378.17,Howard
2021,4,8,normal,0,142.0,154.07999999999998,296.08,Rich
2021,4,9,normal,0,246.5,173.0,419.5,Rouse
2021,4,10,normal,0,271.0,203.01,474.01,Dave
2021,5,1,normal,0,244.0,211.91,455.90999999999997,Boyce
2021,5,2,normal,0,215.0,106.09,321.09000000000003,Alex
2021,5,3,normal,0,180.5,143.51,324.01,Garth
2021,5,4,normal,0,240.5,124.75,365.25,Chris
2021,5,5,normal,0,216.5,135.07,351.57,Andy
2021,5,6,normal,0,259.5,164.66,424.15999999999997,Sam
2021,5,7,normal,0,212.0,201.34,413.34000000000003,Howard
2021,5,8,normal,0,129.5,140.75,270.25,Rich
2021,5,9,normal,0,258.5,157.67000000000002,416.17,Rouse
2021,5,10,normal,0,200.0,182.75,382.75,Dave
2021,6,1,normal,0,223.5,176.75,400.25,Boyce
2021,6,2,normal,0,260.5,167.17000000000002,427.67,Alex
2021,6,3,normal,0,225.5,228.66,454.15999999999997,Garth
2021,6,4,normal,0,218.5,181.17000000000002,399.67,Chris
2021,6,5,normal,0,248.5,148.84,397.34000000000003,Andy
2021,6,6,normal,0,238.5,161.5,400.0,Sam
2021,6,7,normal,0,220.5,202.09,422.59000000000003,Howard
2021,6,8,normal,0,141.5,120.08,261.58,Rich
2021,6,9,normal,0,225.5,174.16,399.65999999999997,Rouse
2021,6,10,normal,0,191.5,173.32999999999998,364.83,Dave
2021,7,1,normal,0,230.5,233.91,464.40999999999997,Boyce
2021,7,2,normal,0,263.0,161.75,424.75,Alex
2021,7,3,normal,0,166.5,115.67,282.17,Garth
2021,7,4,normal,0,226.5,266.92,493.42,Chris
2021,7,5,normal,0,303.0,129.34,432.34000000000003,Andy
2021,7,6,normal,0,206.0,125.5,331.5,Sam
2021,7,7,normal,0,199.5,127.59,327.09000000000003,Howard
2021,7,8,normal,0,167.0,152.91,319.90999999999997,Rich
2021,7,9,normal,0,216.0,196.0,412.0,Rouse
2021,7,10,normal,0,267.0,176.92000000000002,443.92,Dave
2021,8,1,normal,0,231.0,219.26,450.26,Boyce
2021,8,2,normal,0,185.0,201.42,386.41999999999996,Alex
2021,8,3,normal,0,160.5,141.75,302.25,Garth
2021,8,4,normal,0,143.0,210.09,353.09000000000003,Chris
2021,8,5,normal,0,202.0,140.51,342.51,Andy
2021,8,6,normal,0,195.5,99.0,294.5,Sam
2021,8,7,normal,0,152.5,245.59,398.09000000000003,Howard
2021,8,8,normal,0,117.5,126.67,244.17000000000002,Rich
2021,8,9,normal,0,212.0,230.01,442.01,Rouse
2021,8,10,normal,0,191.0,185.84,376.84000000000003,Dave
2021,9,1,normal,0,208.0,252.75,460.75,Boyce
